feature,future_state_roll,future_state_pitch,future_state_yaw,future_state_roll_rate,future_state_pitch_rate,future_state_yaw_rate
command_roll,0.0,0.0,0.0,0.0,0.0,0.0
command_pitch,0.0,0.0,0.0,0.0,0.0,0.0
command_yaw,0.0,0.0,0.0,0.0,0.0,0.0
command_throttle,0.0,0.0,0.0,0.0,0.0,0.0
roll,0.9972354033030433,0.0,-1.565844344302858,-0.2433353996844734,0.991483227477343,5.60935800465532
pitch,0.0,0.9942677941553806,0.7218655341831076,-0.7398336740562845,0.5601615756821458,-0.9548327750261031
yaw,0.0,0.0,0.6399719582932035,-0.18552752075397386,-0.4596406339338249,-0.8251025711593774
roll_rate,0.0,0.0,0.0,0.9637311361133161,-0.07804668647453757,-0.0830635688066099
pitch_rate,0.0,0.0,0.0,-0.003579932210213577,0.9076928512030633,-0.2041417019564299
yaw_rate,0.0,0.0,0.0013280335673829886,-0.017923787536427684,-0.09354725615527376,0.5072073888465137
position_x,0.0,0.0,0.0,0.0,0.0,0.0
position_y,0.0,0.0,0.0,0.0,0.0,0.0
position_z,0.0,0.0,0.0,0.0,0.0,0.0
velocity_x,0.0,0.0,0.0,0.0,0.0,0.0
velocity_y,0.0,0.0,0.0,0.0,0.0,0.0
velocity_z,0.0,0.0,0.0,0.0,0.0,0.0
altitude,0.0,0.0,0.0,0.0,0.0,0.0
vertical_speed,0.0,0.0,0.0,0.0,0.0,0.0
heading,0.0,0.0,0.002877453166309862,0.1410382867247605,0.27227097411690077,0.7349032197686984
integrator_yaw,0.0,0.0,0.0,0.0,0.0,0.0
control_output_roll,0.0,0.0,0.0,0.0,0.0,0.0
control_output_pitch,0.0,0.0,0.0,0.0,-0.019791154191713504,0.0
control_output_yaw,0.0,0.0,0.0,0.0,0.0,-0.009991550228912523
actuator_1,0.0,0.0,0.0,0.0,-0.010885709759696811,0.0
actuator_2,0.0,0.0,0.0,0.0,0.0,0.0
actuator_3,0.0,0.0,0.0,0.0,0.0,0.0
actuator_4,0.0,0.0,0.0,0.0,0.03609719704365054,0.0
command_roll__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
command_pitch__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
command_yaw__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
command_throttle__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
roll__lag_1,3.569791131154224e-13,0.0,0.9087002812884306,0.21097757320465396,-0.5912362316529143,-2.7945472389956105
pitch__lag_1,0.0,0.00011469196083364114,-0.260730292533251,0.6774343339722201,-0.4309081081936136,0.19823122768330406
yaw__lag_1,0.0,0.0,0.17657190379774984,0.010376163070064863,0.001252880065731038,-0.37145287043124275
roll_rate__lag_1,0.0,0.0,0.0,0.03177903362701849,0.06091226022854052,0.022374762943556153
pitch_rate__lag_1,0.0,0.0,0.0,0.0,0.053360695350979766,0.08616013209080955
yaw_rate__lag_1,0.0,0.0,0.0,0.012314684031040636,0.04042309261388784,0.23775282455938013
position_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
position_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
position_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
velocity_x__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
velocity_y__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
velocity_z__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
altitude__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
vertical_speed__lag_1,0.0,0.0,0.0,0.0,0.0,0.0
