feature,actuator_1,actuator_2,actuator_3,actuator_4
command_roll,-0.00200532058303286,-0.0018188467413167895,-0.0017559431717625148,-0.001724981988042313
command_pitch,0.0,0.0,0.0,0.0
command_yaw,0.0,0.0,0.0,0.0
command_throttle,-0.3923062063928707,-0.3921950089151456,-0.3921368305008101,-0.39257714334813826
roll,0.4654462213210581,0.467496294034057,0.45908757948879036,0.45514806034899224
pitch,0.06627026933273301,0.03330281327584261,0.04627821189270312,0.015147930430356954
yaw,0.0007548573122923193,0.0006884724752338732,0.0007993135676137129,0.0007810839069786105
roll_rate,0.011910517344952513,0.010223567922766665,0.010290347454456013,0.010597307461940937
pitch_rate,-0.030068722488718915,-0.03143207153803754,-0.03159460995863538,-0.02722500699909862
yaw_rate,0.011266034076305297,0.011036827093867028,0.011255857101218167,0.011280870667883792
position_x,1.2552636677955078e-11,1.1640899963298604e-11,1.1878244696921552e-11,1.300113386942491e-11
position_y,-2.0628047505826908e-18,-7.266168094602101e-19,-6.529054958482502e-19,-1.5395542563665107e-18
position_z,0.0,0.0,0.0,0.0
velocity_x,0.0,0.0,0.0,0.0
velocity_y,-0.0014527402388220443,-0.0012784115901709196,-0.00124651470698258,-0.0012154865238540617
velocity_z,-0.0001740308387054772,-0.00016805647017204862,-0.00016979744516025774,-0.00017799032473196823
altitude,0.0,0.0,0.0,0.0
vertical_speed,1.3168412583840403e-16,7.251143726857416e-17,1.5318881532759192e-16,1.1974099640101257e-16
heading,-0.0008397885857551832,-0.0011365324365947022,-0.0010881179569379317,-0.0009783570700264812
command_roll__lag_1,0.0,0.0,0.0,0.0
command_pitch__lag_1,0.0,0.0,0.0,0.0
command_yaw__lag_1,0.0,0.0,0.0,0.0
command_throttle__lag_1,0.031171916518656247,0.030938986605877933,0.031035551025365527,0.030808113661620853
roll__lag_1,0.3565510893043441,0.358638613402145,0.3502344682994725,0.3463510277370335
pitch__lag_1,0.009534808595251567,0.010488876485150811,0.010099099665493947,0.00759371942268922
yaw__lag_1,0.0008321769127892968,0.0007926542033883042,0.0008942153526470134,0.0008938299817060903
roll_rate__lag_1,0.012818225090513872,0.01097466266328024,0.011130597470612142,0.011182400367234297
pitch_rate__lag_1,-0.015293849911225295,-0.01596455244552824,-0.015976449365762237,-0.013904784647508238
yaw_rate__lag_1,0.012134262228928695,0.01195821871516779,0.01218274356234264,0.01204412060893894
position_x__lag_1,0.0,0.0,0.0,0.0
position_y__lag_1,0.0,0.0,0.0,0.0
position_z__lag_1,0.0,0.0,0.0,0.0
velocity_x__lag_1,0.0,0.0,0.0,0.0
velocity_y__lag_1,0.0,0.0,0.0,0.0
velocity_z__lag_1,0.0,0.0,0.0,0.0
altitude__lag_1,-3.099591483325154e-07,-4.111615951826194e-06,-5.362692896036369e-06,-4.1026987553061985e-06
vertical_speed__lag_1,0.0,0.0,0.0,0.0
heading__lag_1,-0.0007148703558012208,-0.0010072278045062375,-0.0009550560887568952,-0.000850015334473064
command_roll__lag_2,0.0,0.0,0.0,0.0
command_pitch__lag_2,0.0,0.0,0.0,0.0
command_yaw__lag_2,0.0,0.0,0.0,0.0
command_throttle__lag_2,0.03093493009212686,0.030703313147564058,0.030799033822642492,0.030569048737638653
roll__lag_2,0.35087282378037377,0.352960224977641,0.34456866504934824,0.34060070658477115
pitch__lag_2,0.007152379523116442,0.008102912676274433,0.007691480094255229,0.006438306512410377
yaw__lag_2,0.0008949137275563363,0.0008369895855324612,0.0009527413367066796,0.0009424831164708377
